country,region,subregion,population,population growth,area,GDP(PPP) per capita,Gini,Ethnic Fractionalization,Linguistic Fractionalization,Religious Fractionalization,cannabis,cigarettes,alcohol,MF ratio (birth),MF ratio (lt15),MF ratio 15-64,M/F >65,MF in population
Saint Kitts and Nevis,Latin America and Caribbean,Caribbean,54191,0.01123,261,16066,NA,0.1842,0,0.6614,11.7,287,9.43,1.06,1.05,1,0.72,0.99
Saint Lucia,Latin America and Caribbean,Caribbean,182273,0.00833,616,13000,42.6,0.1769,0.3169,0.332,9,249,11.85,1.06,1.05,0.94,0.82,0.96
Saint Pierre and Miquelon,Northern America,South America,6043,0.00007,242,NA,NA,NA,NA,NA,NA,NA,NA,1.05,1.04,1.03,0.86,1.01
Saint Vincent and the Grenadines,Latin America and Caribbean,Caribbean,109373,0.00011,389,11768,NA,0.3066,0.0175,0.7028,7.1,351,5.44,1.03,1.02,1.06,0.82,1.03
Samoa,Oceania,Polynesia,190372,0.00759,2944,6157,NA,NA,NA,NA,NA,34,4.8,1.05,1.04,1.1,0.8,1.06
San Marino,Europe,Southern Europe,31448,0.00601,61,42724,NA,0.2927,0,0.1975,NA,NA,NA,1.09,1.08,0.92,0.76,0.91
Sao Tome and Principe,Africa,Middle Africa,192993,0.02581,1001,NA,50.8,0,0.2322,0.1866,NA,NA,NA,1.03,1.03,0.94,0.82,0.98
Saudi Arabia,Asia,Western Asia,28828870,0.01848,2149690,30477,NA,0.18,0.0949,0.127,0.3,809,0.25,1.05,1.04,1.29,1.06,1.18
Senegal,Africa,Western Africa,14133280,0.02895,196190,2005,40.25,0.6939,0.7081,0.1497,2.8,398,0.6,1.03,1.01,0.98,0.88,0.99
Serbia,Europe,Southern Europe,9510506,-0.00468,77474,10722,28,0.5736,0,0,4.1,2861,11.09,1.07,1.07,1,0.7,0.95
Seychelles,Africa,Eastern Africa,92838,0.00551,455,24989,65.8,0.2025,0.1606,0.2323,NA,565,10.59,1.03,1.05,1.08,0.59,1.03
Sierra Leone,Africa,Western Africa,6092075,0.01879,71740,1295,52.7,0.8191,0.7634,0.5395,16.1,177,9.72,1.03,0.96,0.92,0.84,0.94
Singapore,Asia,South-Eastern Asia,5411737,0.0202,697,60799,47.95,0.3857,0.3835,0.6561,0.004,547,1.55,1.08,1.08,0.95,0.8,0.95
Sint Maarten (Neth.),Latin America and Caribbean,Caribbean,45233,0.01967,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovakia,Europe,Eastern Europe,5450223,0.0009,48845,24142,26,0.2539,0.2551,0.5655,6.9,1403,13.33,1.05,1.05,0.99,0.6,0.94
Slovenia,Europe,Southern Europe,2071997,0.00241,20273,27837,27.5,0.2216,0.2201,0.2868,4.1,2369,15.19,1.07,1.06,1.02,0.64,0.95
Solomon Islands,Oceania,Melanesia,561231,0.02092,28450,3288,NA,0.111,0.5254,0.6708,NA,18,1.66,1.05,1.04,1.02,0.9,1.02
Somalia,Africa,Eastern Africa,10495583,0.02869,637657,NA,NA,0.8117,0.0326,0.0028,2.5,67,0.1,1.03,1,1,0.72,1
South Africa,Africa,Southern Africa,52776130,0.00777,1219912,11281,64.05,0.7517,0.8652,0.8603,4.3,459,9.46,1.02,1,1.02,0.69,0.99
South Korea,Asia,Eastern Asia,49262698,0.00528,98480,31950,36.6,0.002,0.0021,0.6604,0.3,1958,14.8,1.07,1.1,1.04,0.67,1
South Sudan,Africa,Eastern Africa,11296173,0.04017,644329,1120,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Europe,Southern Europe,46926963,0.00436,504782,30058,33.35,0.4165,0.4132,0.4514,10.6,1757,11.62,1.07,1.06,1.01,0.72,0.96
Sri Lanka,Asia,South-Central Asia,21273228,0.00805,65610,6046,40.3,0.415,0.4645,0.4853,1.5,195,0.79,1.04,1.04,0.96,0.87,0.97
Sudan,Africa,Northern Africa,37964306,0.02107,1844729,2549,35.3,0.7147,0.719,0.4307,NA,75,2.38,1.05,1.04,1.01,1.07,1.03
Suriname,Latin America and Caribbean,South America,539276,0.00876,163270,12299,52.9,0.7332,0.331,0.791,4.3,57,6.09,1.07,1.04,0.99,0.76,0.99
Swaziland,Africa,Southern Africa,1249514,0.01491,17363,5719,50.95,0.0582,0.1722,0.4444,NA,303,5.7,1.03,1.02,0.93,0.59,0.95
Sweden,Europe,Northern Europe,9571105,0.00653,449964,40304,24,0.06,0.1968,0.2342,1.2,715,10.3,1.06,1.06,1.03,0.79,0.98
Switzerland,Europe,Western Europe,8077833,0.01016,41290,44864,31.65,0.5314,0.5441,0.6083,3.4,1722,11.06,1.05,1.08,1.02,0.71,0.97
Syria,Asia,Western Asia,21898061,0.00669,185180,NA,35.8,0.5399,0.1817,0.431,2,1013,1.43,1.06,1.06,1.05,0.89,1.05
Taiwan,Asia,Eastern Asia,23329772,0.00242,35980,38357,34.2,0.2744,0.5028,0.6845,0.3,NA,NA,1.09,1.08,1.02,0.94,1.02
Tajikistan,Asia,South-Central Asia,8207834,0.02425,143100,2205,31.7,0.5107,0.5473,0.3386,3.4,1046,3.39,1.05,1.04,0.98,0.74,0.99
Tanzania,Africa,Eastern Africa,49253126,0.03015,945087,1627,37.6,0.7353,0.8983,0.6334,0.2,132,6.75,1.03,1,0.97,0.78,0.98
Thailand,Asia,South-Eastern Asia,67010502,0.00298,514000,9503,46.8,0.6338,0.6344,0.0994,1.2,560,7.08,1.05,1.05,0.98,0.83,0.98
Timor-Leste,Asia,South-Eastern Asia,1132879,0.01657,15007,20113,31.9,NA,0.5261,0.4254,NA,NA,0.86,1.05,1.03,1.04,0.91,1.03
Togo,Africa,Western Africa,6816982,0.0257,56785,1093,34.4,0.7099,0.898,0.6596,1,307,1.99,1.03,1.01,0.96,0.65,0.97
Tokelau,Oceania,Polynesia,1195,0.0193,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tonga,Oceania,Polynesia,105323,0.00434,748,7987,NA,0.0869,0.3782,0.6214,NA,48,3.78,1.05,1.04,0.99,0.71,0.99
Trinidad and Tobago,Latin America and Caribbean,Caribbean,1341151,0.00278,5128,19826,40.3,0.6475,0.1251,0.7936,4.7,1106,6.28,1.03,1.05,1.05,0.75,1.02
Tunisia,Africa,Northern Africa,10996515,0.01104,163610,9650,40.7,0.0394,0.0124,0.0104,NA,1628,1.29,1.07,1.07,1.01,0.87,1.01
Turkey,Asia,Western Asia,74932641,0.01224,780580,14812,39.6,0.32,0.2216,0.0049,1.9,1399,2.87,1.05,1.05,1.02,0.84,1.02
Turkmenistan,Asia,South-Central Asia,5240072,0.01274,488100,8641,40.8,0.3918,0.3984,0.2327,NA,135,4.63,1.05,1.02,0.98,0.77,0.98
Turks and Caicos Islands,Latin America and Caribbean,Caribbean,33098,0.0205,430,NA,NA,NA,NA,NA,5.4,NA,NA,1.05,1.04,1.1,0.95,1.07
Tuvalu,Oceania,Polynesia,9876,0.0018,26,3443,NA,0.1629,0.1372,0.2524,NA,29,2.44,1.05,1.04,0.96,0.59,0.96
Uganda,Africa,Eastern Africa,37578876,0.03328,236040,1424,44.3,0.9302,0.9227,0.6332,1.4,24,11.93,1.03,1.01,1.01,0.71,1
Ukraine,Europe,Eastern Europe,45238805,-0.00619,603700,7295,27.3,0.4737,0.4741,0.6157,2.5,2401,15.6,1.06,1.06,0.92,0.5,0.86
United Arab Emirates,Asia,Western Asia,9346129,0.02524,83600,29176,NA,0.6252,0.4874,0.331,5.4,583,0.54,1.05,1.05,2.74,1.82,2.19
United Kingdom,Europe,Northern Europe,63136265,0.00565,244820,36569,37,0.1211,0.0532,0.6944,7.9,750,13.37,1.05,1.05,1.03,0.76,0.98
United States of America,Northern America,South America,320050716,0.00808,9826630,51704,45,0.4901,0.5647,0.8241,13.7,1028,9.44,1.05,1.04,1,0.75,0.97
United States Virgin Islands,Latin America and Caribbean,Caribbean,106627,0.00098,1910,NA,NA,0,0.314,0.6359,NA,NA,NA,1.06,1.03,0.88,0.82,0.9
Uruguay,Latin America and Caribbean,South America,3407062,0.00341,176220,15865,45.3,0.2504,0.0817,0.3548,6,770,8.14,1.04,1.03,0.99,0.67,0.95
Uzbekistan,Asia,South-Central Asia,28934102,0.01351,447400,3523,36.75,0.4125,0.412,0.2133,4.2,449,3.54,1.06,1.05,0.99,0.75,0.99
Vanuatu,Oceania,Melanesia,252763,0.02209,12200,4843,NA,0.0413,0.5794,0.7044,0.1,43,0.93,1.05,1.04,1.04,1.06,1.04
Venezuela,Latin America and Caribbean,South America,30405207,0.01492,NA,13480,41.9,0.4966,0.0686,0.135,0.9,496,8.23,1.05,1.03,0.97,0.8,0.98
Vietnam,Asia,South-Eastern Asia,91679733,0.00952,329560,3788,36.6,0.2383,0.2377,0.508,0.3,1001,3.77,1.12,1.1,0.99,0.63,0.98
Wallis and Futuna Islands,Oceania,Polynesia,13272,-0.00617,274,NA,NA,NA,NA,NA,NA,NA,NA,1.05,1.11,1,0.83,1.01
Western Sahara,Africa,Northern Africa,567315,0.03212,266000,NA,NA,NA,NA,NA,NA,NA,NA,1.04,1.03,0.97,0.73,0.99
Yemen,Asia,Western Asia,24407381,0.02298,527970,2251,37.7,0,0.008,0.0023,NA,402,0.02,1.05,1.04,1.03,0.92,1.03
Zambia,Africa,Eastern Africa,14538640,0.03212,752614,1683,52.7,0.7808,0.8734,0.7359,9.5,74,3.85,1.03,1.01,1,0.7,1
Zimbabwe,Africa,Eastern Africa,14149648,0.02805,390580,552,50.1,0.3874,0.4472,0.7363,6.9,189,5.08,1.03,1.02,0.81,0.78,0.91
