country,region,subregion,population,population growth,area,GDP(PPP) per capita,Gini,Ethnic Fractionalization,Linguistic Fractionalization,Religious Fractionalization,cannabis,cigarettes,alcohol,MF ratio (birth),MF ratio (lt15),MF ratio 15-64,M/F >65,MF in population
Chad,Africa,Middle Africa,12825314,0.02982,1284000,2474,39.8,0.862,0.8635,0.6411,0.9,86,4.38,1.04,1.03,0.85,0.73,0.92
Chile,Latin America and Caribbean,South America,17619708,0.00882,756950,18211,52.1,0.1861,0.1871,0.3841,4.6,860,8.55,1.05,1.05,1,0.72,0.98
China,Asia,Eastern Asia,1385566537,0.00605,9596960,9055,47.2,0.1538,0.1327,0.6643,NA,1711,5.91,1.12,1.17,1.06,0.93,1.06
Colombia,Latin America and Caribbean,South America,48321405,0.01286,1138910,10671,57.2,0.6014,0.0193,0.1478,2.3,412,6.17,1.06,1.05,0.97,0.74,0.98
Comoros,Africa,Eastern Africa,734917,0.02397,2170,1251,64.3,0,0.0103,0.0137,2.9,583,0.76,1.03,1.01,0.98,0.83,0.98
Congo,Africa,Middle Africa,4447632,0.02551,342000,4616,47.3,0.8747,0.6871,0.6642,NA,NA,4.2,1.03,1.01,0.99,0.7,0.99
Congo Democratic Republic of the,Africa,Middle Africa,67513677,0.02719,2345410,NA,44.4,0.8747,0.8705,0.7021,NA,105,3.3,1.03,1.01,0.99,0.69,0.99
Cook Islands,Oceania,Polynesia,20629,0.00534,237,NA,NA,NA,NA,NA,NA,NA,3.7,1.048,1.13,1.07,0.96,1.07
Costa Rica,Latin America and Caribbean,Central America,4872166,0.01374,51100,12545,50.5,0.2368,0.0489,0.241,1,529,5.55,1.05,1.05,1.01,0.86,1.01
Ivory Coast,Africa,Western Africa,20316086,0.02306,322460,1707,41.5,0.8204,0.7842,0.7551,NA,148,6.48,1.03,1.02,1.04,0.99,1.03
Croatia,Europe,Southern Europe,4289714,-0.00385,56542,17618,32.85,0.369,0.0763,0.4447,5.2,1621,15.11,1.055,1.06,0.99,0.64,0.93
Cuba,Latin America and Caribbean,Caribbean,11265629,-0.00059,110860,NA,NA,0.5908,0,0.5059,NA,1261,5.51,1.06,1.06,1,0.83,0.99
Cyprus,Asia,Western Asia,1141166,0.01076,9250,26794,29,0.0939,0.3962,0.3962,4.4,1620,9.26,1.05,1.06,1.08,0.77,1.04
Czech Republic,Europe,Eastern Europe,10702197,0.00419,78866,27000,28.5,0.3222,0.3233,0.6591,15.2,2125,16.45,1.059,1.06,1.01,0.66,0.95
Denmark,Europe,Northern Europe,5619096,0.00395,43094,37324,24.4,0.0819,0.1049,0.2333,5.5,1413,13.37,1.055,1.05,1.01,0.78,0.98
Djibouti,Africa,Eastern Africa,872932,0.01515,23000,2648,40,0.7962,0.6558,0.0435,NA,309,2.87,1.03,1,0.8,0.81,0.86
Dominica,Latin America and Caribbean,Caribbean,72003,0.00421,754,13994,NA,0.2003,0,0.4628,10.8,339,7.84,1.05,1.04,1.05,0.76,1.02
Dominican Republic,Latin America and Caribbean,Caribbean,10403761,0.0123,48730,9547,47.2,0.4294,0.0395,0.3118,0.3,234,6.41,1.04,1.04,1.04,0.86,1.03
Ecuador,Latin America and Caribbean,South America,15737878,0.01569,283560,10215,49.3,0.655,0.1308,0.1417,0.7,227,9.38,1.05,1.04,0.97,0.93,0.99
Egypt,Africa,Northern Africa,82056378,0.0163,1001450,6474,32.6,0.1836,0.0237,0.1979,6.2,1104,0.37,1.05,1.05,1.03,0.83,1.03
